Date,Open,High,Low,Close,Adj Close,Volume
2020-04-27,43.630001,43.779999,43.419998,43.660000,43.660000,524400
2020-04-28,44.020000,44.029999,43.209999,43.250000,43.250000,1483200
2020-04-29,42.970001,43.270000,42.779999,43.060001,43.060001,877700
2020-04-30,43.570000,43.970001,43.020000,43.910000,43.910000,1278900
2020-05-01,43.419998,43.549999,42.669998,42.849998,42.849998,936900
2020-05-04,42.610001,42.849998,42.259998,42.770000,42.770000,851300
2020-05-05,42.880001,43.840000,42.740002,43.150002,43.150002,1013000
2020-05-06,43.040001,43.299999,42.689999,42.700001,42.700001,1586900
2020-05-07,42.930000,43.040001,42.470001,42.869999,42.869999,1729800
2020-05-08,42.970001,43.450001,42.790001,43.310001,43.310001,1302500
2020-05-11,42.619999,42.889999,42.459999,42.730000,42.730000,2210900
2020-05-12,42.990002,43.020000,41.689999,41.709999,41.709999,2295000
2020-05-13,42.639999,42.750000,41.980000,42.150002,42.150002,1419000
2020-05-14,40.830002,41.070000,40.540001,41.070000,41.070000,1162000
2020-05-15,40.910000,41.259998,40.810001,41.240002,41.240002,704300
2020-05-18,42.290001,43.439999,42.220001,43.250000,43.250000,1041200
2020-05-19,43.349998,43.669998,43.009998,43.009998,43.009998,893900
2020-05-20,44.980000,45.490002,44.639999,45.130001,45.130001,1293000
2020-05-21,45.529999,45.549999,44.669998,44.720001,44.720001,732800
2020-05-22,44.029999,44.549999,43.939999,44.520000,44.520000,594600
2020-05-26,45.290001,45.400002,44.680000,44.689999,44.689999,663200
2020-05-27,43.759998,44.130001,43.240002,44.070000,44.070000,719900
2020-05-28,44.570000,45.639999,44.570000,44.900002,44.900002,607800
2020-05-29,45.860001,45.889999,44.939999,45.459999,45.459999,968400
2020-06-01,45.630001,45.770000,45.360001,45.750000,45.750000,539200
2020-06-02,45.389999,45.849998,45.250000,45.799999,45.799999,485000
2020-06-03,45.599998,46.160000,45.480000,46.020000,46.020000,614500
2020-06-04,46.549999,47.099998,46.439999,46.580002,46.580002,1095200
2020-06-05,47.189999,47.830002,47.110001,47.169998,47.169998,736200
2020-06-08,46.389999,47.330002,46.250000,47.330002,47.330002,1075700
2020-06-09,47.180000,47.610001,46.840000,47.119999,47.119999,831100
2020-06-10,46.939999,47.200001,46.540001,46.750000,46.750000,527900
2020-06-11,45.590000,45.680000,43.980000,44.009998,44.009998,767900
2020-06-12,45.820000,45.950001,44.650002,45.220001,45.220001,683900
2020-06-15,44.689999,46.020000,44.520000,45.750000,45.750000,808100
2020-06-16,46.660000,47.209999,46.570000,46.790001,46.790001,942100
2020-06-17,47.250000,47.470001,46.759998,46.840000,46.840000,675300
2020-06-18,46.650002,46.740002,46.110001,46.290001,46.290001,583200
2020-06-19,47.360001,47.549999,46.250000,46.259998,46.259998,1189800
2020-06-22,47.000000,47.119999,46.650002,47.049999,47.049999,628000
2020-06-23,47.970001,48.220001,47.509998,47.520000,47.520000,627800
2020-06-24,47.250000,47.349998,46.169998,46.480000,46.480000,500100
2020-06-25,46.700001,46.980000,46.220001,46.970001,46.970001,492100
2020-06-26,47.310001,47.360001,46.599998,46.689999,46.689999,540400
2020-06-29,46.849998,46.919998,46.450001,46.770000,46.770000,392600
2020-06-30,46.310001,46.959999,46.130001,46.840000,46.840000,403800
2020-07-01,46.869999,47.610001,46.669998,47.509998,47.509998,502000
2020-07-02,47.610001,48.080002,47.580002,47.779999,47.779999,462100
