Date,Open,High,Low,Close,Adj Close,Volume
2020-04-27,37.000000,37.990002,36.410000,37.439999,36.328831,5166800
2020-04-28,39.740002,40.889999,39.240002,40.060001,38.871078,6163900
2020-04-29,43.000000,46.200001,42.990002,45.910000,44.547455,6794900
2020-04-30,44.000000,45.189999,42.680000,42.970001,41.694714,5309700
2020-05-01,40.790001,41.790001,39.910000,41.369999,40.142197,6677600
2020-05-04,39.709999,41.689999,38.779999,41.369999,40.142197,6068200
2020-05-05,42.509998,43.430000,40.910000,41.099998,39.880211,7138100
2020-05-06,41.430000,42.060001,38.849998,39.139999,37.978378,4075000
2020-05-07,40.009998,41.549999,40.009998,40.480000,39.278614,3993400
2020-05-08,42.209999,42.849998,41.480000,42.720001,41.452133,3635400
2020-05-11,41.480000,41.689999,40.279999,40.459999,39.259201,4197400
2020-05-12,40.470001,41.599998,39.169998,39.200001,38.036598,3845000
2020-05-13,39.029999,39.099998,35.730000,36.389999,35.309998,5654500
2020-05-14,35.860001,39.540001,35.049999,39.230000,38.065708,6623200
2020-05-15,38.500000,39.080002,37.770000,38.000000,36.872211,3217500
2020-05-18,40.389999,41.380001,40.180000,41.060001,39.841400,5300300
2020-05-19,40.730000,41.419998,39.349998,39.750000,38.570278,4664500
2020-05-20,40.369999,41.389999,40.209999,41.009998,40.238285,4392400
2020-05-21,40.900002,41.560001,40.230000,40.750000,39.983177,3222600
2020-05-22,40.810001,41.150002,39.759998,40.470001,39.708447,2434000
2020-05-26,42.919998,45.009998,42.470001,44.080002,43.250519,7294700
2020-05-27,47.270000,49.619999,46.950001,49.599998,48.666641,8441000
2020-05-28,50.320000,52.189999,48.849998,49.470001,48.539089,10462500
2020-05-29,48.139999,49.950001,47.349998,47.509998,46.615967,8224200
2020-06-01,47.790001,49.860001,47.459999,49.840000,48.902126,5263500
2020-06-02,51.000000,52.560001,50.790001,52.389999,51.404144,5863100
2020-06-03,55.060001,57.259998,54.950001,57.139999,56.064758,7986000
2020-06-04,55.770000,58.660000,54.930000,58.259998,57.163681,6713600
2020-06-05,64.089996,66.769997,60.250000,60.619999,59.479271,9503200
2020-06-08,64.410004,64.410004,60.860001,61.290001,60.136662,6063000
2020-06-09,58.509998,60.020000,57.549999,58.849998,57.742573,5379000
