Date,Open,High,Low,Close,Adj Close,Volume
2020-04-27,67.370003,70.580002,67.250000,69.279999,69.279999,3829500
2020-04-28,70.220001,71.199997,66.059998,66.250000,66.250000,5554600
2020-04-29,66.919998,69.110001,65.769997,68.330002,68.330002,2871900
2020-04-30,67.480003,68.849998,63.794998,64.870003,64.870003,4339700
2020-05-01,63.160000,64.599998,61.310001,64.445000,64.445000,3334400
2020-05-04,63.990002,68.180000,63.209999,67.690002,67.690002,2363900
2020-05-05,70.099998,76.500000,70.029999,72.790001,72.790001,9153400
2020-05-06,74.849998,78.629997,72.080002,78.239998,78.239998,6919500
2020-05-07,74.379997,78.839996,73.309998,76.589996,76.589996,6841500
2020-05-08,76.860001,81.690002,75.389999,80.709999,80.709999,4847700
2020-05-11,80.370003,82.620003,79.629997,80.279999,80.279999,3095400
2020-05-12,80.250000,82.970001,78.900002,79.019997,79.019997,3485000
2020-05-13,80.309998,82.449997,76.889999,81.550003,81.550003,3403400
2020-05-14,80.449997,83.180000,79.739998,81.629997,81.629997,3737300
2020-05-15,82.269997,85.839996,80.610001,85.629997,85.629997,3037600
2020-05-18,86.974998,88.019997,78.029999,78.180000,78.180000,6056700
2020-05-19,79.180000,80.239998,76.010002,77.084999,77.084999,6443900
2020-05-20,78.550003,79.279999,73.330002,75.294998,75.294998,5099400
2020-05-21,75.559998,75.930000,73.110001,74.309998,74.309998,3168300
2020-05-22,74.430000,78.150002,73.403000,77.480003,77.480003,2799000
2020-05-26,78.419998,78.879997,73.070000,74.080002,74.080002,3640800
2020-05-27,72.900002,76.699997,69.349998,76.239998,76.239998,4427600
2020-05-28,75.959999,80.199997,75.309998,77.809998,77.809998,2891200
2020-05-29,78.540001,81.619003,78.400002,80.980003,80.980003,3182800
2020-06-01,80.500000,81.910004,78.339996,78.589996,78.589996,2290400
2020-06-02,78.860001,82.551003,78.070000,81.860001,81.860001,3021500
2020-06-03,81.800003,82.330002,79.339996,80.660004,80.660004,2889200
2020-06-04,81.720001,86.010002,79.540001,80.300003,80.300003,3968700
2020-06-05,80.519997,80.589996,76.029999,78.720001,78.720001,2982300
2020-06-08,78.070000,78.500000,74.820000,76.470001,76.470001,2984200
2020-06-09,76.489998,78.980003,76.080002,76.370003,76.370003,2208800
2020-06-10,80.870003,82.930000,78.510002,79.809998,79.809998,4330700
2020-06-11,78.559998,80.449997,76.714996,77.519997,77.519997,3711700
