Date,Holiday
01-01-2021,New years day
01-18-2021,MLK Jr day
02-15-2021,Presidents day
04-02-2021,Good Friday
05-31-2021,Memorial day
07-05-2021,Independence day
09-06-2021,Labor day
11-25-2021,Thanksgiving day
11-26-2021,Early Close day
12-24-2021,Christmas day

